Haul Truck Template;TimeStamp;Aftercooler Temperature;Air Filter;Boost Pressure;Brake Air Pressure;Brake Stroke;Delta Exhaust Temp Engine Load;Differential Temperature;Engine Coolant Temperature;Engine Fuel Rate;Engine Load;Engine Oil Pressure;Engine RPM;Ground Speed;Hourly Average Delta Exhaust Temp Engine Load;Hourly Average Delta Front Suspension;Hourly Average Delta Rear Suspension;Latitude;Left Exhaust Temperature;Left Front Brake Temperature;Left Front Suspension Cylinder;Left Rear Brake Temperature;Left Rear Suspension Cylinder;Longitude;Name;Operator;Payload;Payload Status;Payload_Count;Payload_Histogram;Payload_Intermediate;Right Exhaust Temperature;Right Front Brake Temperature;Right Front Suspension Cylinder;Right Rear Brake Temperature;Right Rear Suspension Cylinder;Shift Payload Total;Step;Suspension Delta Front Cylinders;Suspension Delta Rear Cylinders;System Voltage;Truck Code
Truck 101;8/22/2021 3:15:52.438 PM;64.93652;7.128305;190.8691;0;0;17.17146;0;90.28037;321.0762;86.72198;454.8496;1860.612;18.26419;36.19493;39.00566;56.93797;48.6719831763532;488.3982;75.72758;3023.374;74.90157;2778.581;87.8874031089009;Truck 101;Ray Emery;209;Hauling;1;640;640;460.965;73.13371;3058.78;75.33006;2656.853;3038.49584960938;7;96.33458;82.07874;0;101
Truck 101;8/22/2021 3:16:52.438 PM;63.34563;6.991776;186.8762;0;0;22.88878;0;90.29652;325.2004;99.25333;449.0499;1905.032;18.28246;35.80893;39.6529;55.80069;48.6730617847074;475.7163;75.31866;2998.386;75.83533;2754.478;87.8899712993068;Truck 101;Ray Emery;209;Hauling;1;640;640;452.8275;73.9137;3102.422;74.90294;2670.225;3042.49584960938;7;99.12853;81.52193;0;101
Truck 101;8/22/2021 3:17:52.438 PM;63.68123;7.037055;186.5631;0;0;22.36461;0;89.39119;332.5242;95.73534;446.3911;1888.784;12.81034;35.42293;40.30014;54.66341;48.6741403930616;476.6439;75.22733;2998.265;74.94435;2788.12;87.8925394897127;Truck 101;Ray Emery;209;Hauling;1;640;640;467.0292;75.48523;3017.347;75.03799;2710.545;3046.49584960938;7;101.9225;80.96513;0;101
Truck 101;8/22/2021 3:18:52.438 PM;62.89768;6.994719;187.7286;0;0;26.81193;0;88.99902;328.9347;78.49599;438.2021;1893.206;17.83595;35.03693;40.94738;53.52613;48.6752190014157;493.5257;74.30941;3020.996;75.78378;2761.953;87.8951076801186;Truck 101;Ray Emery;209;Hauling;1;640;640;453.4081;73.6646;3026.924;74.4289;2680.468;3050.49584960938;7;104.7164;80.40832;0;101
Truck 101;8/22/2021 3:19:52.438 PM;62.52538;7.126071;188.3853;0;0;31.25924;0;90.49906;323.5677;58.94322;445.946;1870.923;0;34.65093;41.59462;52.38885;48.6762976097699;486.1142;74.68572;3030.572;76.45686;2839.49;87.8976758705245;Truck 101;Ray Emery;209;Queued;1;640;640;445.8961;74.30392;2996.472;74.74925;2701.438;3054.49584960938;7;107.5104;79.85152;0;101
Truck 101;8/22/2021 3:20:52.438 PM;63.2322;6.994865;189.0101;0;0;35.70655;0;90.62427;326.3941;50.03068;444.4339;1871.321;10.2824;34.62679;41.60642;67.96732;48.6773762181241;482.4451;75.05104;3135.618;75.09523;2824.805;87.9002440609304;Truck 101;Ray Emery;209;Backing;1;640;640;441.2519;74.35783;2992.222;74.23616;2652.457;3058.49584960938;7;110.3044;79.29471;0;101
Truck 101;8/22/2021 3:21:52.438 PM;62.0944;7.140491;188.7173;0;0;40.15387;0;89.15487;325.2836;57.37217;445.6203;1886.842;10.24751;34.65483;42.60021;66.78022;48.6784548264782;501.1764;74.778;3095.444;73.62208;2844.214;87.9028122513363;Truck 101;Ray Emery;20.7;Travelling;1;638;638;448.5585;75.97688;2977.446;74.67081;2754.87;3062.49584960938;7;113.0983;78.7379;0;101
Truck 101;8/22/2021 3:22:52.438 PM;61.46352;7.043665;188.8225;0;0;44.60118;0;91.53925;323.7095;76.37866;441.3302;1897.365;19.89477;34.68287;43.59399;65.59312;48.6795334348324;500.6301;71.7719;3068.927;75.46961;2835.435;87.9053804417422;Truck 101;Ray Emery;20.2;Travelling;1;638;638;448.0517;76.88593;3004.039;73.51503;2743.948;3066.49584960938;7;66.39621;89.28847;0;101
Truck 101;8/22/2021 3:23:52.438 PM;64.74621;6.91201;188.8645;0;0;49.04849;0;91.91983;324.5036;94.47284;442.8914;1865.494;20.13895;34.71091;44.58778;64.40603;48.6806120431866;497.3441;72.80703;3113.952;76.51482;2877.494;87.9079486321481;Truck 101;Ray Emery;19.8;Travelling;1;636;636;447.7159;75.28531;3013.055;72.94213;2758.872;3070.49584960938;7;87.13969;119.8974;0;101
Truck 101;8/22/2021 3:24:52.438 PM;64.4893;6.959562;191.6295;0;0;43.19128;0;90.03912;327.594;99.68111;445.3795;1871.375;10.40087;34.73895;45.58157;63.21893;48.6816906515407;489.8294;75.66335;3107.643;76.28268;2909.468;87.910516822554;Truck 101;Ray Emery;199;Queued;1;638;638;447.3604;74.08588;3049.628;74.99515;2771.99;3074.49584960938;7;58.65656;119.9815;0;101
Truck 101;8/22/2021 3:25:52.438 PM;64.40617;6.899315;193.3818;0;0;41.53146;0;89.42643;323.0003;88.55696;439.4588;1885.552;3.445171;34.76699;46.57535;62.03183;48.6827692598949;491.9315;75.35044;3012.394;72.93005;2767.013;87.9086681320995;Truck 101;Ray Emery;199;Backing;1;638;638;450.1465;74.06998;3038.172;74.63101;2725.734;3078.49584960938;7;31.35841;37.59067;0;101
Truck 101;8/22/2021 3:26:52.438 PM;64.16394;6.861579;195.0763;0;0;41.10313;0;89.64272;319.2944;68.46165;441.668;1932.538;19.65843;34.79503;47.56914;60.84474;48.6838478682491;489.8618;75.15913;3016.99;71.95792;2785.212;87.9061824906709;Truck 101;Ray Emery;20.9;Travelling;1;638;638;447.6306;75.22169;3083.958;74.79874;2738.089;3082.49584960938;7;66.28365;52.83217;0;101
Truck 101;8/22/2021 3:27:52.438 PM;64.27357;6.734858;197.6469;0;0;40.67479;0;89.62518;322.2096;52.69302;452.802;1951.19;19.46754;34.82307;48.56292;59.65764;48.6849264766032;490.8043;74.88174;3067.189;71.36589;2851.68;87.9036968492424;Truck 101;Ray Emery;19.4;Travelling;1;638;638;459.6321;74.75317;3048.673;73.44774;2743.545;3086.49584960938;7;23.30244;121.8229;0;101
Truck 101;8/22/2021 3:28:52.438 PM;64.67564;6.768099;190.8425;0;0;40.24646;0;88.46957;317.5667;51.68576;447.4695;1941.059;19.83556;34.85111;49.55671;58.47055;48.6860050849574;489.7346;74.98914;3027.634;71.16378;2849.564;87.9012112078138;Truck 101;Ray Emery;21.1;Travelling;1;638;638;443.6004;74.83481;2987.895;73.79927;2731.631;3090.49584960938;7;48.75159;114.663;0;101
Truck 101;8/22/2021 3:29:52.438 PM;63.88768;6.857821;191.3471;0;0;39.81812;0;87.05984;326.309;66.10641;446.9555;1936.378;20.01231;34.87915;50.5505;57.28345;48.6870836933116;498.1964;74.56933;3004.118;72.94296;2822.939;87.8987255663852;Truck 101;Ray Emery;21;Travelling;1;638;638;445.0023;75.15437;3012.602;75.79057;2753.599;3094.49584960938;7;27.90268;67.20463;0;101
Truck 101;8/22/2021 3:30:52.438 PM;63.0793;6.835895;195.2019;0;0;39.38979;0;86.2037;326.0656;86.41228;450.2229;1889.825;19.4363;35.24488;61.57073;70.86247;48.6881623016657;496.0768;72.95259;2964.213;74.98843;2841.598;87.8962399249566;Truck 101;Ray Emery;20.3;Travelling;1;638;638;447.2309;75.10434;3017.884;75.4487;2691.472;3098.49584960938;7;61.56153;152.5407;0;101
Truck 101;8/22/2021 3:31:52.438 PM;64.04008;6.934973;190.6879;0;0;44.49878;0;88.43933;323.1397;99.16622;456.4229;1940.022;19.64798;35.65931;60.91202;70.05583;48.6892409100199;487.8296;73.39732;3044.813;74.38425;2838.645;87.8937542835281;Truck 101;Ray Emery;20.7;Travelling;1;638;638;443.601;73.59412;3025.853;74.88351;2724.017;3102.49584960938;7;33.82495;102.7995;0;101
Truck 101;8/22/2021 3:32:52.438 PM;64.39461;6.978825;190.0733;0;0;67.18004;0;89.61666;315.3447;95.92846;448.3448;1934.684;20.10016;36.07374;60.25331;69.24919;48.6903195183741;501.9067;74.1753;3015.601;74.76154;2804.295;87.8912686420995;Truck 101;Ray Emery;20.2;Travelling;1;638;638;434.0661;74.3131;3114.631;75.18259;2748.936;3106.49584960938;7;118.4539;59.1795;0;101
Truck 101;8/22/2021 3:33:52.438 PM;64.96782;7.072811;186.972;0;0;64.12873;0;91.24521;321.0397;78.84155;460.6073;1939.814;20.05035;36.48817;59.5946;68.44255;48.6913981267282;494.6148;74.18362;2990.829;74.64627;2790.297;87.8887830006709;Truck 101;Ray Emery;19.8;Travelling;1;638;638;452.1627;74.05173;3159.016;75.2394;2688.063;3110.49584960938;7;155.3554;99.08259;0;101
Truck 101;8/22/2021 3:34:52.438 PM;65.05162;6.96448;188.314;0;0;61.07743;0;91.84933;328.9211;59.21254;451.3222;2002.102;19.7526;36.9026;58.93589;67.63591;48.6924767350824;509.38;76.90154;3015.265;75.78526;2773.888;87.8862973592423;Truck 101;Ray Emery;19.9;Travelling;1;638;638;453.7355;74.98475;3067.917;75.3842;2709.152;3114.49584960938;7;47.63971;59.58871;0;101
Truck 101;8/22/2021 3:35:52.438 PM;66.24879;6.944655;191.3402;0;0;58.02612;0;90.84383;326.0575;50.03069;439.1679;1962.362;19.92983;37.31703;58.27718;66.82928;48.6935553434366;511.1418;76.33463;3011.34;74.03844;2785.054;87.8838117178138;Truck 101;Ray Emery;20.2;Travelling;1;638;638;438.2173;75.38306;3042.637;74.74512;2735.918;3118.49584960938;7;30.69371;52.09304;0;101
Truck 101;8/22/2021 3:36:52.438 PM;66.34557;7.013953;188.8103;0;0;54.97481;0;89.81514;319.076;57.37197;443.394;1970.806;19.52856;37.73146;57.61847;66.02264;48.6946339517907;497.0371;74.91766;3035.727;74.02969;2808.388;87.8813260763852;Truck 101;Ray Emery;20.5;Travelling;1;638;638;444.5852;75.20724;3049.293;74.64262;2828.124;3122.49584960938;7;13.46397;34.60113;0;101
Truck 101;8/22/2021 3:37:52.438 PM;66.71262;7.261377;191.5731;0;0;51.9235;0;89.7151;316.0125;76.37839;440.6003;1901.896;12.32;38.14589;56.95976;65.216;48.6957125601449;501.5756;73.46612;3027.841;73.13941;2820.403;87.8788404349566;Truck 101;Ray Emery;20;Waiting;1;638;638;450.4001;75.11437;3099.977;75.91992;2840.513;3126.49584960938;7;61.9698;32.16282;0;101
Truck 101;8/22/2021 3:38:52.438 PM;65.20182;7.015442;191.5297;0;0;48.8722;0;89.81553;316.7804;94.47267;446.1039;1908.711;12.40865;38.56032;56.30105;64.40936;48.6967911684991;499.701;73.47768;3032.24;75.1518;2800.314;87.8763547935281;Truck 101;Ray Emery;18.8;Waiting;1;638;638;450.833;74.64019;3117.099;76.34618;2810.596;3130.49584960938;7;69.64613;8.043115;0;101
Truck 101;8/22/2021 3:39:52.438 PM;64.45726;7.133764;194.326;0;0;30.9105;0;89.87363;326.6303;99.68115;441.6415;1881.954;0;38.97475;55.64234;63.60271;48.6978697768532;493.0733;74.39343;3022.554;77.8656;2739.943;87.8738691520995;Truck 101;Ray Emery;19.5;Waiting;1;638;638;462.1628;75.54951;3027.896;75.80952;2779.625;3134.49584960938;7;13.03933;27.67687;0;101
Truck 101;8/22/2021 3:40:52.438 PM;64.87476;7.00792;191.8253;0;0;32.79996;0;89.91279;320.567;88.55719;455.4433;1900.497;19.69009;39.00312;64.86948;73.22912;48.6989483852074;484.9646;74.73713;2986.146;76.92143;2736.07;87.8713835106709;Truck 101;Ray Emery;196;Loading;1;640;640;461.505;75.61423;3037.384;74.11113;2762.645;3138.49584960938;7;54.36927;32.30026;0;101
Truck 101;8/22/2021 3:41:52.438 PM;64.8821;6.963855;189.3761;0;0;36.77856;0;89.24467;315.9576;68.46192;452.8773;1918.62;11.96396;38.97582;63.56026;72.12574;48.7000269935616;478.4906;75.075;2985.266;76.71983;2794.733;87.8688978692423;Truck 101;Ray Emery;196;Loading;1;640;640;457.6503;77.20586;3037.516;73.98259;2829.808;3142.49584960938;7;55.70153;33.15546;0;101
Truck 101;8/22/2021 3:42:52.438 PM;64.70634;7.148186;189.7305;0;0;40.75715;0;89.39077;323.8311;52.69315;447.1426;1927.791;17.79073;38.94852;62.25105;71.02237;48.7011056019157;491.8633;75.84631;3001.955;75.05437;2795.144;87.8664122278138;Truck 101;Ray Emery;196;Hauling;1;640;640;453.6876;76.68523;2970.157;73.38908;2773.824;3146.49584960938;7;16.89621;28.22579;0;101
Truck 101;8/22/2021 3:43:52.438 PM;64.77126;7.123188;190.1521;0;0;44.73575;0;90.30439;324.2446;51.68566;449.5643;1922.508;0;38.92123;60.94184;69.91899;48.7021842102699;490.768;72.76647;3034.33;74.4885;2833.194;87.8639265863852;Truck 101;Ray Emery;20.6;Waiting;1;640;640;449.5423;77.17891;2989.063;72.93286;2754.837;3150.49584960938;7;14.08622;29.15066;0;101
Truck 101;8/22/2021 3:44:52.438 PM;64.35259;6.857461;189.1537;0;0;48.71434;0;92.86597;319.8203;66.10615;448.2233;1929.831;0;38.89392;59.63262;68.81562;48.7032628186241;492.9171;74.50012;3019.369;75.42471;2827.59;87.8614409449566;Truck 101;Ray Emery;20.4;Waiting;1;640;640;440.6331;75.77178;2975.037;74.89867;2746.871;3154.49584960938;7;17.13591;31.03824;0;101
Truck 101;8/22/2021 3:45:52.438 PM;63.66195;6.783928;192.6654;0;0;52.69294;0;91.78384;323.017;86.41203;448.731;1973.867;0;38.86663;58.32341;67.71224;48.7043414269782;491.4749;72.7037;3029.714;75.47183;2869.5;87.8589553035281;Truck 101;Ray Emery;19.7;Waiting;1;640;640;445.1707;75.25829;2953.232;75.94102;2721.155;3158.49584960938;7;20.1856;32.92582;0;101
Truck 101;8/22/2021 3:46:52.438 PM;63.98071;6.688592;195.2329;0;0;53.84977;0;91.69659;323.4771;99.16615;453.015;1952.745;12.5374;38.83933;57.01419;66.60887;48.7054200353324;500.5169;72.76391;3041.564;75.73724;2839.525;87.8564696620995;Truck 101;Ray Emery;200;Loading;1;642;642;446.8354;73.82262;2998.253;76.06524;2721.657;3162.49584960938;7;23.23529;34.81339;0;101
Truck 101;8/22/2021 3:47:52.438 PM;65.71945;6.930549;193.2005;0;0;57.59206;0;92.993;324.6993;95.92861;452.4158;1881.036;12.4033;38.81203;55.70498;65.50549;48.7064986436866;500.2876;75.39013;3003.367;74.85607;2811.951;87.8539840206709;Truck 101;Ray Emery;200;Loading;1;640;640;448.2885;72.94847;3067.395;75.51944;2740.895;3166.49584960938;7;26.28498;36.70097;0;101
Truck 101;8/22/2021 3:48:52.438 PM;64.52375;6.893744;189.3291;0;0;55.04246;0;91.82288;318.9382;78.84182;454.9261;1904.876;17.97967;38.78473;54.39577;64.40212;48.7075772520407;487.7912;74.90632;2999.921;74.51225;2805.405;87.8514983792423;Truck 101;Ray Emery;200;Hauling;1;640;640;451.1483;71.4442;3079.281;75.40694;2742.217;3170.49584960938;7;29.33466;38.58855;0;101
Truck 101;8/22/2021 3:49:52.438 PM;65.08392;6.958278;191.5408;0;0;52.49286;0;90.81158;316.6378;59.21275;469.3672;1898.607;17.78905;38.75743;53.08656;63.29874;48.7086558603949;505.5548;74.21861;2952.527;73.81778;2811.189;87.8490127378138;Truck 101;Ray Emery;200;Hauling;1;640;640;451.5764;71.21786;3020.85;77.32065;2773.161;3174.49584960938;7;32.38435;40.47613;0;101
Truck 101;8/22/2021 3:50:52.438 PM;63.71434;7.007888;190.8516;0;0;49.94326;0;90.16364;322.9225;50.0307;458.5448;1899.78;17.57847;38.8833;60.00409;71.83224;48.7097344687491;499.3965;74.50747;2951.195;74.72273;2873.237;87.8465270963852;Truck 101;Ray Emery;200;Hauling;1;640;640;456.3195;72.27717;3009.854;76.76616;2781.459;3183.8271484375;7;35.43404;42.36371;0;101
Truck 101;8/22/2021 3:51:52.438 PM;64.90165;6.875852;190.7155;0;0;47.39367;0;89.88605;324.8576;57.37178;458.295;1912.939;17.80185;39.03125;58.25982;70.30009;48.7108130771032;487.6998;74.85877;2961.17;74.48981;2821.168;87.8440414549566;Truck 101;Ray Emery;200;Hauling;1;640;640;456.4528;73.59812;2973.749;77.67283;2781.877;3193.92700195313;7;38.48373;44.25129;0;101
Truck 101;8/22/2021 3:52:52.438 PM;64.67127;6.97271;190.3415;0;0;44.84407;0;90.40369;319.9844;76.37811;455.5031;1914.613;19.3185;39.1792;56.51556;68.76794;48.7118916854574;479.1575;72.75932;2944.492;74.97902;2761.919;87.8415558135281;Truck 101;Ray Emery;200;Hauling;1;640;640;450.3695;74.51096;2973.911;75.99547;2735.487;3204.02709960938;7;41.53342;46.13886;0;101
Truck 101;8/22/2021 3:53:52.438 PM;64.27547;6.979774;189.9636;0;0;42.29447;0;88.96348;321.338;94.4725;458.3925;1933.534;17.82494;39.32715;54.77129;67.2358;48.7129702938116;489.3055;73.50288;2963.133;75.11914;2787.651;87.8390701720995;Truck 101;Ray Emery;200;Hauling;1;640;640;452.6075;74.87621;2975.031;73.90285;2748.53;3214.126953125;7;44.5831;48.02644;0;101
Truck 101;8/22/2021 3:54:52.438 PM;63.94484;6.8376;194.6254;0;0;36.20444;0;89.50168;322.543;99.6812;446.1687;1940.772;18.13379;39.47511;53.02703;65.70365;48.7140489021657;492.7491;73.11871;2987.763;75.0163;2814.639;87.8365845306709;Truck 101;Ray Emery;200;Hauling;1;640;640;456.6355;75.79688;2931.634;74.4037;2764.172;3224.22705078125;7;47.63279;49.91402;0;101
Truck 101;8/22/2021 3:55:52.438 PM;64.10703;7.061775;192.0391;0;0;35.63912;0;90.94862;327.9509;88.55742;440.7192;1943.522;18.35358;39.62306;51.28276;64.17151;48.7151275105199;495.2457;74.66239;3029.709;74.90677;2880.708;87.8340988892424;Truck 101;Ray Emery;200;Hauling;1;640;640;454.4757;73.78136;2910.707;75.12321;2721.86;3234.3271484375;7;50.68248;51.8016;0;101
Truck 101;8/22/2021 3:56:52.438 PM;65.03487;7.093319;191.4798;0;0;34.27514;0;91.04827;331.7967;68.46219;437.0613;1928.937;18.18599;39.77101;49.5385;62.63936;48.7162061188741;493.0612;77.28321;3010.218;75.33805;2879.311;87.8316132478138;Truck 101;Ray Emery;200;Hauling;1;640;640;446.4071;74.65823;2964.027;74.02491;2710.164;3244.42700195313;7;53.73217;53.68918;0;101
Truck 101;8/22/2021 3:57:52.438 PM;65.77465;7.185936;191.091;0;0;32.91116;0;88.43373;325.4207;52.69327;448.3896;1914.455;18.33518;39.91896;47.79424;61.10721;48.7172847272282;487.4443;76.60661;3054.235;75.37054;2799.229;87.8291276063852;Truck 101;Ray Emery;200;Hauling;1;640;640;446.2089;74.20296;2995.716;75.50329;2730.563;3254.52709960938;7;56.78186;55.57676;0;101
Truck 101;8/22/2021 3:58:52.438 PM;66.19771;7.013455;190.8973;0;0;31.54718;0;89.30288;326.6169;51.68556;448.0193;1910.524;17.97969;40.06691;46.04997;59.57507;48.7183633355824;497.4761;74.57436;3043.397;75.66764;2801.916;87.8266419649566;Truck 101;Ray Emery;200;Hauling;1;640;640;446.0518;74.59657;3072.271;75.28776;2742.173;3264.626953125;7;59.83154;57.46434;0;101
Truck 101;8/22/2021 3:59:52.438 PM;65.73172;7.004619;193.6609;0;0;30.1832;0;89.94269;321.2411;66.10589;456.4783;1888.643;18.01747;40.21487;44.30571;58.04292;48.7194419439366;502.863;76.22446;3098.256;72.45033;2862.017;87.8241563235281;Truck 101;Ray Emery;200;Hauling;1;640;640;446.1883;73.35964;3153.956;76.55376;2764.81;3274.72705078125;7;62.88123;59.35191;0;101
Truck 101;8/22/2021 4:00:52.438 PM;64.02914;6.85879;196.0362;0;0;28.81922;0;91.7266;313.9368;86.41179;456.2269;1893.337;14.97921;40.16371;50.89928;63.80181;48.7205205522907;488.1926;74.01202;3050.085;72.05719;2857.919;87.8216706820995;Truck 101;Ray Emery;200;Hauling;1;640;640;453.1273;73.17271;3052.43;74.88029;2830.899;3284.8271484375;7;65.93092;61.23949;0;101
Truck 101;8/22/2021 4:01:52.438 PM;64.80093;6.955861;198.9427;0;0;37.76214;0;89.89436;319.321;99.16608;451.1948;1960.204;16.56188;40.08384;49.4277;62.13557;48.7215991606449;485.9009;74.56615;3081.069;72.67421;2831.433;87.8191850406709;Truck 101;Ray Emery;200;Hauling;1;640;640;447.7864;74.41839;3016.675;75.68748;2791.894;3294.92700195313;7;68.98061;63.12707;0;101
Truck 101;8/22/2021 4:02:52.438 PM;66.4482;7.040126;195.3162;0;0;38.15612;0;89.26193;323.7365;95.92876;449.7794;1977.668;18.38747;40.00397;47.95612;60.46933;48.7226777689991;484.1299;74.2541;3076.08;72.8765;2820.313;87.8166993992424;Truck 101;Ray Emery;200;Hauling;1;640;640;452.8766;74.46819;3015.457;75.61573;2781.535;3305.02709960938;7;72.0303;65.01465;0;101
Truck 101;8/22/2021 4:03:52.438 PM;66.56605;7.027385;195.345;0;0;36.07817;0;90.1497;320.0157;78.84209;449.8627;1954.987;11.95465;39.92411;46.48454;58.80308;48.7237563773532;492.8404;75.36427;3102.091;72.93111;2816.246;87.8142137578138;Truck 101;Ray Emery;200;Queued;1;640;640;454.5044;74.95336;2907.083;78.47298;2778.19;3315.126953125;7;75.07998;66.90223;0;101
Truck 101;8/22/2021 4:04:52.438 PM;64.83398;6.947251;192.2766;0;0;34.00021;0;89.97925;321.0033;59.21297;444.3221;1905.027;10.3655;39.84424;45.01296;57.13684;48.7248349857074;494.7137;74.71275;3044.567;73.3911;2770.31;87.8117281163852;Truck 101;Ray Emery;200;Backing;1;640;640;449.0724;75.91599;2888.381;79.08993;2718.289;3325.22705078125;7;78.12967;68.78981;0;101
Truck 101;8/22/2021 4:05:52.438 PM;65.4291;6.894893;190.8549;0;0;31.92225;0;90.54687;317.33;50.03072;449.5048;1901.338;0;39.76437;43.54138;55.4706;48.7259135940616;503.9207;74.85623;3035.063;72.94569;2728.634;87.8092424749566;Truck 101;Ray Emery;20.4;Travelling;1;638;638;450.053;75.40978;2949.852;76.37321;2783.077;3335.3271484375;7;81.17936;70.67738;0;101
Truck 101;8/22/2021 4:06:52.438 PM;66.35921;7.023571;190.4972;0;0;29.8443;0;90.56451;321.3454;57.37158;451.9659;1898.377;20.39074;39.68451;42.06979;53.80436;48.7269922024157;497.2905;75.69711;3013.127;75.61099;2761.749;87.8067568335281;Truck 101;Ray Emery;20.8;Travelling;1;638;638;459.4408;76.72549;2987.82;76.19002;2744.143;3345.42700195313;7;26.27572;25.10671;0;101
